plant,pollinator,lat_bin,lon_bin,overlap
Asclepias syriaca,Euphyes vestris,43.5,-93.0,0.531055900621118
Asclepias syriaca,Euphyes vestris,42.0,-88.5,0.49572649572649574
Asclepias syriaca,Euphyes vestris,42.0,-79.5,0.39999999999999997
Asclepias syriaca,Euphyes vestris,43.5,-91.5,0.6842696629213483
Asclepias syriaca,Euphyes vestris,40.5,-87.0,0.7
Asclepias syriaca,Euphyes vestris,36.0,-81.0,0.4528301886792453
Asclepias syriaca,Euphyes vestris,45.0,-94.5,0.7398305084745762
Asclepias syriaca,Euphyes vestris,40.5,-76.5,0.412024756852343
Asclepias syriaca,Euphyes vestris,37.5,-93.0,0.375
Asclepias syriaca,Euphyes vestris,45.0,-85.5,0.6070921985815603
Asclepias syriaca,Euphyes vestris,37.5,-84.0,0.4675324675324675
Asclepias syriaca,Euphyes vestris,36.0,-79.5,0.3566037735849057
Asclepias syriaca,Euphyes vestris,43.5,-87.0,0.6196172248803827
Asclepias syriaca,Euphyes vestris,42.0,-72.0,0.2468937808089675
Asclepias syriaca,Euphyes vestris,39.0,-87.0,0.48073022312373226
Asclepias syriaca,Euphyes vestris,39.0,-78.0,0.3406503441041778
Asclepias syriaca,Euphyes vestris,43.5,-94.5,0.7602892102335929
Asclepias syriaca,Euphyes vestris,43.5,-73.5,0.6074252561643194
Asclepias syriaca,Euphyes vestris,39.0,-85.5,0.40535714285714286
Asclepias syriaca,Euphyes vestris,40.5,-81.0,0.5871794871794872
Asclepias syriaca,Euphyes vestris,39.0,-76.5,0.4090435914118412
Asclepias syriaca,Euphyes vestris,40.5,-72.0,0.5645733596170093
Asclepias syriaca,Euphyes vestris,40.5,-97.5,0.46153846153846156
Asclepias syriaca,Euphyes vestris,40.5,-88.5,0.4605582524271844
Asclepias syriaca,Euphyes vestris,40.5,-79.5,0.5816326530612246
Asclepias syriaca,Euphyes vestris,40.5,-70.5,0.42371475953565507
Asclepias syriaca,Euphyes vestris,42.0,-84.0,0.2849206349206349
Asclepias syriaca,Euphyes vestris,42.0,-75.0,0.18677281077770974
Asclepias syriaca,Euphyes vestris,34.5,-81.0,0.3908730158730158
Asclepias syriaca,Euphyes vestris,43.5,-69.0,0.5711678832116789
Asclepias syriaca,Euphyes vestris,39.0,-81.0,0.6436781609195401
Asclepias syriaca,Euphyes vestris,42.0,-73.5,0.490803324099723
Asclepias syriaca,Euphyes vestris,43.5,-85.5,0.5105820105820105
Asclepias syriaca,Euphyes vestris,40.5,-93.0,0.4242424242424242
Asclepias syriaca,Euphyes vestris,34.5,-79.5,0.3903256704980843
