plant,feature,contrast,auc
Pedicularis racemosa,delta,vs random,0.8968750000000001
Pedicularis racemosa,delta,vs co-occurring,0.7959375000000001
Pedicularis racemosa,delta_local,vs random,0.9753125
Pedicularis racemosa,delta_local,vs co-occurring,0.8184374999999999
Pedicularis racemosa,N,vs random,0.9993750000000001
Pedicularis racemosa,N,vs co-occurring,0.98296875
Quercus wislizeni,delta,vs random,0.9340016708437762
Quercus wislizeni,delta,vs co-occurring,0.8991666666666667
Quercus wislizeni,delta_local,vs random,0.9766081871345029
Quercus wislizeni,delta_local,vs co-occurring,0.9249999999999999
Quercus wislizeni,N,vs random,0.9979114452798664
Quercus wislizeni,N,vs co-occurring,0.99625
Sonchus asper,delta,vs random,0.9327717391304348
