plant,degree,genus_seen,r10_rank_n,hit_rank_n,r10_rank_tax,hit_rank_tax,r10_rank_n_tax,hit_rank_n_tax,r10_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_rank_full_tax,hit_rank_full_tax,r10_hyb_n_tax,hit_hyb_n_tax,r10_hyb_n_ldelta,hit_hyb_n_ldelta,r10_hyb_n_tax_ldelta,hit_hyb_n_tax_ldelta
Eriogonum incanum,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eriogonum plumatella,20,True,0.05,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.1,1.0,0.1,1.0,0.1,1.0
Erodium cicutarium,49,True,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0
Eryngium aristulatum,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eryngium yuccifolium,219,True,0.0365296803652968,1.0,0.0319634703196347,1.0,0.0319634703196347,1.0,0.0319634703196347,1.0,0.0319634703196347,1.0,0.0365296803652968,1.0,0.0365296803652968,1.0,0.0365296803652968,1.0
Erythronium umbilicatum,10,True,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.1,1.0,0.1,1.0,0.2,1.0,0.2,1.0
Eubotrys racemosa,2,False,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0
Eucalyptus globulus,5,False,0.0,0.0,0.2,1.0,0.2,1.0,0.4,1.0,0.2,1.0,0.0,0.0,0.2,1.0,0.2,1.0
Euonymus atropurpureus,14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eupatorium capillifolium,16,True,0.1875,1.0,0.125,1.0,0.125,1.0,0.125,1.0,0.0625,1.0,0.1875,1.0,0.1875,1.0,0.1875,1.0
Eupatorium leptophyllum,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0
Euphorbia cyparissias,33,True,0.0,0.0,0.0,0.0,0.06060606060606061,1.0,0.06060606060606061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Euphorbia oblongata,9,True,0.0,0.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0
Euphorbia serpillifolia,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Euploca polyphylla,10,False,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0
Eurybia divaricata,86,True,0.03488372093023256,1.0,0.09302325581395349,1.0,0.09302325581395349,1.0,0.09302325581395349,1.0,0.09302325581395349,1.0,0.06976744186046512,1.0,0.046511627906976744,1.0,0.046511627906976744,1.0
Eurybia radulina,1,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Eurybia schreberi,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eustoma exaltatum,1,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fallugia paradoxa,28,False,0.17857142857142858,1.0,0.03571428571428571,1.0,0.03571428571428571,1.0,0.07142857142857142,1.0,0.03571428571428571,1.0,0.17857142857142858,1.0,0.17857142857142858,1.0,0.17857142857142858,1.0
Forestiera segregata,2,False,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
Fouquieria splendens,13,False,0.23076923076923078,1.0,0.0,0.0,0.23076923076923078,1.0,0.46153846153846156,1.0,0.07692307692307693,1.0,0.23076923076923078,1.0,0.23076923076923078,1.0,0.23076923076923078,1.0
Fragaria chiloensis,13,True,0.15384615384615385,1.0,0.23076923076923078,1.0,0.23076923076923078,1.0,0.23076923076923078,1.0,0.3076923076923077,1.0,0.15384615384615385,1.0,0.15384615384615385,1.0,0.15384615384615385,1.0
Frasera albicaulis,8,True,0.0,0.0,0.25,1.0,0.375,1.0,0.5,1.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Frasera fastigiata,3,True,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0
Frasera parryi,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0
Fraxinus velutina,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fumaria capreolata,1,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Funastrum heterophyllum,18,True,0.16666666666666666,1.0,0.2222222222222222,1.0,0.2777777777777778,1.0,0.2777777777777778,1.0,0.16666666666666666,1.0,0.2222222222222222,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0
Gaillardia pinnatifida,9,True,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.2222222222222222,1.0,0.4444444444444444,1.0,0.3333333333333333,1.0,0.4444444444444444,1.0
Galanthus nivalis,11,False,0.09090909090909091,1.0,0.09090909090909091,1.0,0.18181818181818182,1.0,0.09090909090909091,1.0,0.2727272727272727,1.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.09090909090909091,1.0
Galearis spectabilis,21,False,0.047619047619047616,1.0,0.047619047619047616,1.0,0.09523809523809523,1.0,0.09523809523809523,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0
Galium aparine,21,True,0.09523809523809523,1.0,0.09523809523809523,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.09523809523809523,1.0,0.09523809523809523,1.0,0.09523809523809523,1.0
Garberia heterophylla,14,False,0.0,0.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.21428571428571427,1.0,0.21428571428571427,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0,0.07142857142857142,1.0
Gelsemium sempervirens,10,False,0.2,1.0,0.0,0.0,0.2,1.0,0.1,1.0,0.0,0.0,0.2,1.0,0.2,1.0,0.2,1.0
Genista monspessulana,3,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
Geobalanus oblongifolius,17,False,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geranium sanguineum,9,True,0.2222222222222222,1.0,0.1111111111111111,1.0,0.2222222222222222,1.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.2222222222222222,1.0,0.2222222222222222,1.0,0.2222222222222222,1.0
Geranium viscosissimum,41,True,0.0,0.0,0.14634146341463414,1.0,0.17073170731707318,1.0,0.17073170731707318,1.0,0.21951219512195122,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0,0.024390243902439025,1.0
Glandularia bipinnatifida,22,True,0.2727272727272727,1.0,0.13636363636363635,1.0,0.22727272727272727,1.0,0.22727272727272727,1.0,0.13636363636363635,1.0,0.3181818181818182,1.0,0.2727272727272727,1.0,0.2727272727272727,1.0
Gnaphalium palustre,1,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Gutierrezia microcephala,3,True,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
